intent,query,answer
2021학년도 입학자 졸업기준(교양),교양필수,"신입생세미나, English Listening Practice1, English Reading Practice1, 창업가기업가정신1, 문제해결을위한글쓰기와발표, 서양철학:쟁점과토론, 대학생활과진로탐색, 취창업과진로설계"
2021학년도 입학자 졸업기준(교양),교양선택(1영역) 및 학문기초교양,단과대학 또는 학과에 차이가 존재한다.
2021학년도 입학자 졸업기준(전공),단일전공 이수시,학과 또는 전공에 따라 차이가 있다.
2021학년도 입학자 졸업기준(전공),복수전공 이수시(연계·융합 전공포함),전필 : 15 학점 / 전선 : 24 학점 / 합계 : 39 학점(주전공·복수전공 각각이수)
2021학년도 입학자 졸업기준(졸업),졸업이수학점,"건축학과(5년제)는 168점이며, 그 외의 학과는 130학점"
2021학년도 입학자 교양필수,English Listening Practice1,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 인문과학, 사회과학, 경영, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과
1학년 2학기 : 전자정보, 소프트웨어융합, 공과 계열 학과"
2021학년도 입학자 교양필수,English Reading Practice1,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
2학년 1학기 : 인문과학, 사회과학, 경영, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과
2학년 2학기 : 전자정보, 소프트웨어융합, 공과 계열 학과"
2021학년도 입학자 교양필수,문제해결을 위한 글쓰기와 발표,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 전자정보, 소프트웨어융합, 공과 계열 학과
1학년 2학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과"
2021학년도 입학자 교양필수,서양철학:쟁점과토론,"해당 과목은 안내에 따른 학기 중에 이수해야 한다.
1학년 1학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 자연과학, 생명과학, 예체능, 법학 계열 학과
1학년 2학기 : 전자정보, 소프트웨어융합, 공과 계열 학과"
2021학년도 입학자 교양필수,신입생세미나,모든 학과는 1학년 1학기에 이수
2021학년도 입학자 교양필수,대학생활과진로탐색,모든 학과는 1학년 2학기에 이수
2021학년도 입학자 교양필수,창업과기업가정신1,모든 학과는 1~4학년(건축학전공은 1~5학년)안에 이수
2021학년도 입학자 교양필수,취창업과진로설계,모든 학과(국방시스템공학과·항공시스템공학과 제외)는 3~4학년(건축학전공은 4~5학년)안에 이수
2021학년도 입학자 교양선택(1영역),교양선택(1영역),"학교에서 지정한 과목과 학생이 자율적으로 과목, 학년과 학기를 선택하여 이수할 수 있는 과목을 포함하여 반드시 3개 영역 이상 21학점 이상 이수해야 한다. 만일, 본인 학과의 해당 과목이 아닌 다른 과목을 이수할 경우 교양선택(2역역)으로 인정된다."
2021학년도 입학자 교양선택(1영역),세계사:인간과문명,"해당 과목은 사상과 역사 영역이며, 안내에 따른 학기 중에 반드시 이수해야 한다.
2학년 中 : 자연과학, 생명과학, 전자정보, 소프트웨어융합, 공과 계열 학과
2학년 2학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 법학 계열 학과"
2021학년도 입학자 교양선택(1영역),한국현대사의 이해,"해당 과목은 사상과 역사 영역이며, 안내에 따른 학기 중에 반드시 이수해야 한다.
2학년 中 : 인문과학, 사회과학, 경영경제, 호텔관광, 예체능, 법학 계열 학과"
2021학년도 입학자 교양선택(1영역),컴퓨팅 사고기반 기초코딩,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 1학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 예체능, 법학 계열 학과, 디자인이노베이션전공, 만화애니메이션텍전공"
2021학년도 입학자 교양선택(1영역),소프트웨어 기초코딩,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 1학기 : 자연과학, 생명과학, 공과 계열 학과"
2021학년도 입학자 교양선택(1영역),프로그래밍입문-P,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 2학기 : 인문과학, 사회과학, 경영경제, 호텔관광, 법학 계열 학과, 디자인이노베이션전공, 만화애니메이션텍전공"
2021학년도 입학자 교양선택(1영역),고급프로그래밍입문-P,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 한다. 그러나 에비대학프로그램으로 프로그래밍과목을 수강한 학생은 지정된 과목을 수강한 것으로 인정한다. (고급프로그래밍이해-P ＝ 고급프로그래밍입문-P / 고급프로그래밍이해-C ＝ 고급프로그래밍입문-C)
1학년 학기 : 컴퓨터공학과, 소프트웨어학과, 데이터사이언스학과, 무인이동체학과, 스마트기기학과, 인공지능학과
1학년 2학기 : 수학통계학과, 물리천문학과, 식품생명공학과, 바이오융합학과, 바이오산업지원학과, 스마트생명산업학과, 정보보호학과, 건축공학과, 건축학과, 건설환경학과, 환경에너지공간융합학과, 지구자원시스템학과, 항공시스템학과"
2021학년도 입학자 교양선택(1영역),고급프로그래밍입문-C,"해당 과목은 자연과 과학기술 영역이며, 안내에 따른 학기 중에 반드시 이수해야 한다. 그러나 에비대학프로그램으로 프로그래밍과목을 수강한 학생은 지정된 과목을 수강한 것으로 인정한다. (고급프로그래밍이해-P ＝ 고급프로그래밍입문-P / 고급프로그래밍이해-C ＝ 고급프로그래밍입문-C)
1학년 1학기 : 전자정보통신학과
1학년 2학기 : 화학과, 기계학과, 항공우주학과, 나노신소재학과, 원자력학과, 국방시스템학과"
2021학년도 입학자 교양선택(1영역),정보사회의 사이버윤리,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 1학기 : 건설환경공학과
2학년 1학기 : 정보보호학과"
2021학년도 입학자 교양선택(1영역),세계경제의 이해,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
2학년 2학기 : 건설환경공학과"
2021학년도 입학자 교양선택(1영역),지구환경과학입문,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
2학년 2학기 : 건설환경공학과"
2021학년도 입학자 교양선택(1영역),Technical Writing 기초,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
3학년 1학기 : 정보보호학과, 소프트웨어학과, 데이터사이언스학과, 인공지능학과
3학년 2학기 : 컴퓨터학과"
2021학년도 입학자 교양선택,학점이수,전공기초교양과목에서 지정해제되었다.
2021학년도 입학자 학문기초교양,전산개론-O,해당 과목은 2021년부터 지정해제되었다.
2021학년도 입학자 학문기초교양,경영수학,"전공기초교양과목에서 지정해제되며, 경영학과의 전공필수로 변경된다."
2021학년도 입학자 학문기초교양,기초미적분학,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 1학기 : 생명과학, 소프트웨어융합, 공학(환경에너지공간융합학과 제외) 계열 학과"
2021학년도 입학자 학문기초교양,일변수미적분학,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 1학기 : 자연과학, 전자정보, 공과(환경에너지공간융합학과·국방시스템학과·항공시스템공학과 제외) 계열 학과, 데이터사이언스학과, 무인이동체학과, 스마트기기학과, 인공지능학과
1학년 2학기 : 국방시스템학과, 항공시스템"
2021학년도 입학자 학문기초교양,다변수미적분학,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 2학기 : 자연과학, 공과(환경에너지공간융합학과·국방시스템학과·항공시스템공학과 제외) 계열 학과"
2021학년도 입학자 학문기초교양,공업수학1,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 2학기 : 전자정보, 소프트웨어융합(정보보호학과 제외) 계열 학과
2학년 1학기 : 공학(건축학과 제외) 계열 학과"
2021학년도 입학자 학문기초교양,공업수학2,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
2학년 1학기 : 전자정보통신학과
2학년 2학기 : 공학(건축학과 제외) 계열 학과"
2021학년도 입학자 학문기초교양,일반물리학및실험1,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 1학기 : 전자정보, 소프트웨어융합(소프트웨어학과 제외), 공학(건축공학과·건축학과 제외) 계열 학과 
2학년 1학기 : 건축공학과"
2021학년도 입학자 학문기초교양,일반물리학및실험2,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 2학기 : 전자정보통신학과, 공학(건축공학과·건축학과 제외) 계열 학과
2학년 2학기 : 건축공학과"
2021학년도 입학자 학문기초교양,일반화학및실험1,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 1학기 : 생명과학 계열 학과, 화학과, 나노신소재학과
2학년 1학기 : 환경에너지공간융합학과"
2021학년도 입학자 학문기초교양,일반화학및실험2,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 2학기 : 생명과학 계열 학과, 화학과, 나노신소재학과
2학년 2학기 : 환경에너지공간융합학과"
2021학년도 입학자 학문기초교양,일반생물학,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다. A가 붙은 학과는 1학기 2학기에 통계학개론, 일반생물학 중 1과목을 이수해야 한다.
1학년 2학기 : 화학과(A), 정보보호학과, 환경에너지공간융합학과"
2021학년도 입학자 학문기초교양,일반화학,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다.
1학년 1학기 : 전자정보통신학과, 지구자원시스템학과
2학년 1학기 : 건축공학과, 건설환경공학과, 기계공학과, 항공우주공학과"
2021학년도 입학자 학문기초교양,통계학개론,"해당 과목은 안내에 따른 학기 중에 반드시 이수해야 한다. A가 붙은 학과는 1학기 2학기에 통계학개론, 일반생물학 중 1과목을 이수해야 한다.
1학년 2학기 : 화학과(A), 데이터사이언스학과, 환경에너지공간융합학과
2학년 2학기 : 소프트웨어학과
3학년 1학기 : 건축공학과"
